"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.20.232.190","224.0.0.251","MDNS","415","Standard query response 0x0000 PTR HP LaserJet Tank MFP 1005w (E680E8)._ipp._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._ipps._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._pdl-datastream._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._printer._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._uscan._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._uscans._tcp.local"
"2","0.000011972","172.20.240.208","224.0.0.251","MDNS","358","Standard query response 0x0000 PTR NeonPulseGX._dosvc._tcp.local SRV 0 0 7680 NeonPulseGX.local TXT A 172.20.240.208 NSEC NeonPulseGX.local"
"3","0.000012019","172.20.248.35","224.0.0.251","MDNS","113","Standard query 0x0000 TXT SAMI._airplay._tcp.local, ""QU"" question OPT"
"4","0.000012143","fe80::140f:bed3:3d9a:e1f3","ff02::fb","MDNS","133","Standard query 0x0000 TXT SAMI._airplay._tcp.local, ""QU"" question OPT"
"5","0.000053814","172.20.228.101","255.255.255.255","DB-LSP-DISC/JSON","175","Dropbox LAN sync Discovery Protocol, JavaScript Object Notation"
"6","0.000053844","fe80::e273:e7ff:fee6:80e8","ff02::fb","MDNS","435","Standard query response 0x0000 PTR HP LaserJet Tank MFP 1005w (E680E8)._ipp._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._ipps._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._pdl-datastream._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._printer._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._uscan._tcp.local PTR HP LaserJet Tank MFP 1005w (E680E8)._uscans._tcp.local"
"7","0.000066517","172.20.217.210","224.0.0.251","MDNS","369","Standard query response 0x0000 PTR seven._dosvc._tcp.local SRV 0 0 7680 seven.local TXT A 172.20.217.210 AAAA fe80::7b79:4c5a:3f81:4de1"
"8","0.000074062","172.20.235.92","224.0.0.251","MDNS","107","Standard query 0x3eac PTR macâ\200\231s MacBook Pro (2)._device-info._tcp.local, ""QM"" question"
"9","0.000074104","fe80::7b79:4c5a:3f81:4de1","ff02::fb","MDNS","389","Standard query response 0x0000 PTR seven._dosvc._tcp.local SRV 0 0 7680 seven.local TXT A 172.20.217.210 AAAA fe80::7b79:4c5a:3f81:4de1"
"10","0.000098877","172.20.218.231","224.0.0.251","MDNS","109","Standard query 0xc41d PTR Skandaâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question"
"11","0.000099023","172.20.218.231","224.0.0.251","MDNS","107","Standard query 0xf9af PTR macâ\200\231s MacBook Pro (2)._device-info._tcp.local, ""QM"" question"
"12","0.000099053","172.20.218.231","224.0.0.251","MDNS","104","Standard query 0x42af PTR Suliâ\200\231s ipad â\255\220\357\270\217._device-info._tcp.local, ""QM"" question"
"13","0.000114454","10:68:38:f2:1d:9e","Broadcast","ARP","56","Who has 172.20.249.64? Tell 172.20.216.186"
"14","0.000114570","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.197.23? Tell 172.20.192.1"
"15","0.000114605","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.227.201? Tell 172.20.192.1"
"16","0.000114635","ca:8f:cb:72:b2:9e","Broadcast","ARP","56","Who has 172.20.234.41? Tell 172.20.200.252"
"17","0.000114664","ca:8f:cb:72:b2:9e","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.200.252"
"18","0.000114692","5e:f4:22:20:16:41","Broadcast","ARP","56","Who has 172.20.230.59? Tell 172.20.227.7"
"19","0.000114721","5e:f4:22:20:16:41","Broadcast","ARP","56","Who has 172.20.196.218? Tell 172.20.227.7"
"20","0.000114751","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.202.62? Tell 172.20.192.1"
"21","0.000157399","IntelCor_fd:86:a3","Broadcast","ARP","56","Who has 172.20.201.243? Tell 172.20.206.57"
"22","0.000157430","a2:72:dc:b3:a3:03","Broadcast","ARP","56","Who has 172.20.230.59? Tell 172.20.229.225"
"23","0.000157467","a2:72:dc:b3:a3:03","Broadcast","ARP","56","Who has 172.20.196.218? Tell 172.20.229.225"
"24","0.000157496","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.233.144? Tell 172.20.192.1"
"25","0.000157534","a2:72:dc:b3:a3:03","Broadcast","ARP","56","Who has 172.20.236.197? Tell 172.20.229.225"
"26","0.000157562","3a:58:91:2d:08:91","Broadcast","ARP","56","Who has 172.20.236.197? Tell 172.20.192.236"
"27","0.000157591","fe:c6:1c:99:d3:0b","Broadcast","ARP","56","Who has 172.20.230.59? Tell 172.20.201.219"
"28","0.000157619","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.196.172? Tell 172.20.192.1"
"29","0.000185411","0e:52:a7:e7:13:05","Broadcast","ARP","56","Who has 172.20.223.19? Tell 172.20.194.104"
"30","0.000185440","b0:dc:ef:33:e8:11","Broadcast","ARP","56","Who has 172.20.248.195? Tell 172.20.239.148"
"31","0.000185468","86:1b:ac:f7:a7:e4","Broadcast","ARP","56","Who has 172.20.242.230? Tell 172.20.213.221"
"32","0.000185497","86:1b:ac:f7:a7:e4","Broadcast","ARP","56","Who has 172.20.234.41? Tell 172.20.213.221"
"33","0.000185527","3a:58:91:2d:08:91","Broadcast","ARP","56","Who has 172.20.240.112? Tell 172.20.192.236"
"34","0.000185555","da:1b:90:80:8c:00","Broadcast","ARP","56","Who has 172.20.230.59? Tell 172.20.211.38"
"35","0.000185583","b0:dc:ef:33:e8:11","Broadcast","ARP","56","Who has 172.20.238.222? Tell 172.20.239.148"
"36","0.000185613","ea:d7:71:0b:a5:f4","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.221.1"
"37","0.000215717","IntelCor_f5:47:a9","Broadcast","ARP","56","Who has 172.20.223.102? Tell 172.20.211.198"
"38","0.000215745","ea:d7:71:0b:a5:f4","Broadcast","ARP","56","Who has 172.20.240.50? Tell 172.20.221.1"
"39","0.000215774","Apple_a9:0b:64","Broadcast","ARP","56","Who has 172.20.226.208? Tell 172.20.203.75"
"40","0.000215803","f6:94:ad:5b:58:d5","Broadcast","ARP","56","Who has 172.20.234.41? Tell 172.20.199.4"
"41","0.000215831","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.210.45? Tell 172.20.192.1"
"42","0.000215860","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.242.75? Tell 172.20.192.1"
"43","0.000215889","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.199.216? Tell 172.20.192.1"
"44","0.000215917","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.197.203? Tell 172.20.192.1"
"45","0.000240110","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.221.190? Tell 172.20.192.1"
"46","0.000240139","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.236.195? Tell 172.20.192.1"
"47","0.000240167","IntelCor_c4:1e:fe","Broadcast","ARP","56","Who has 172.20.241.244? Tell 172.20.238.11"
"48","0.010358130","fe80::c44e:48f:56ea:dcac","ff02::fb","MDNS","341","Standard query response 0x0000 PTR PC-1._dosvc._tcp.local SRV 0 0 7680 PC-1.local TXT A 172.20.238.176 AAAA fe80::c44e:48f:56ea:dcac"
"49","0.010360717","172.20.235.92","224.0.0.251","MDNS","106","Standard query 0x36a5 PTR Aryan's macbook pro._companion-link._tcp.local, ""QM"" question"
"50","0.010379612","fe80::cd7:1652:514b:3436","ff02::fb","MDNS","1025","Standard query response 0x0000 PTR macâ\200\231s MacBook Pro (2)._airplay._tcp.local PTR EE0E931A41FA@macâ\200\231s MacBook Pro (2)._raop._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 macs-MacBook-Pro-2.local SRV, cache flush 0 0 7000 macs-MacBook-Pro-2.local AAAA, cache flush fe80::cd7:1652:514b:3436 A, cache flush 172.20.244.6 NSEC, cache flush macâ\200\231s MacBook Pro (2)._airplay._tcp.local NSEC, cache flush EE0E931A41FA@macâ\200\231s MacBook Pro (2)._raop._tcp.local NSEC, cache flush macs-MacBook-Pro-2.local"
"51","0.010381037","172.20.224.183","224.0.0.251","MDNS","347","Standard query response 0x0000 PTR Satya._dosvc._tcp.local SRV 0 0 7680 Satya.local TXT A 172.20.224.183 AAAA fe80::e6d3:c88d:1bbb:f905"
"52","0.010396549","172.20.218.231","224.0.0.251","MDNS","108","Standard query 0x2b2c PTR Shanmukhâ\200\231s MacBook Pro._device-info._tcp.local, ""QM"" question"
"53","0.010400590","172.20.244.6","224.0.0.251","MDNS","1005","Standard query response 0x0000 PTR macâ\200\231s MacBook Pro (2)._airplay._tcp.local PTR EE0E931A41FA@macâ\200\231s MacBook Pro (2)._raop._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 macs-MacBook-Pro-2.local SRV, cache flush 0 0 7000 macs-MacBook-Pro-2.local AAAA, cache flush fe80::cd7:1652:514b:3436 A, cache flush 172.20.244.6 NSEC, cache flush macâ\200\231s MacBook Pro (2)._airplay._tcp.local NSEC, cache flush EE0E931A41FA@macâ\200\231s MacBook Pro (2)._raop._tcp.local NSEC, cache flush macs-MacBook-Pro-2.local"
"54","0.010396618","172.20.238.176","224.0.0.251","MDNS","321","Standard query response 0x0000 PTR PC-1._dosvc._tcp.local SRV 0 0 7680 PC-1.local TXT A 172.20.238.176 AAAA fe80::c44e:48f:56ea:dcac"
"55","0.010396735","172.20.239.183","224.0.0.251","MDNS","293","Standard query response 0x0000 PTR, cache flush Android-46.local PTR, cache flush Android-46.local A, cache flush 172.20.239.183 AAAA, cache flush fe80::703e:dfff:fe32:29aa NSEC, cache flush 183.239.20.172.in-addr.arpa NSEC, cache flush A.A.9.2.2.3.E.F.F.F.F.D.E.3.0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-46.local"
"56","0.010427904","172.20.213.164","224.0.0.251","MDNS","340","Standard query 0x0000 PTR _smb._tcp.local, ""QM"" question PTR Sashyaâ\200\231s MacBook Air._smb._tcp.local PTR Srishaanth's Macbook Air._smb._tcp.local PTR vishnuâ\200\231s MacBook Pro._smb._tcp.local PTR Zahinâ\200\231s MacBook Air._smb._tcp.local PTR Sohanâ\200\231s MacBook Air M2._smb._tcp.local PTR Adhithâ\200\231s MacBook Air._smb._tcp.local PTR Prashanthâ\200\231s MacBook Air._smb._tcp.local"
